AGENCY_NAME;NIGP_DESCRIPTION;PO_TOTAL_AMOUNT;ORDER_DATE;SUPPLIER;SUPPLIER_CITY;SUPPLIER_STATE
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;FINANCIAL SERVICES 00;$13091.00;3/4/11;BASILE BAUMANN PROST & ASSOCIA;ANNAPOLIS  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$2666.70;3/4/11;THE MASTER TEACHER;MANHATTAN  ;KS
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$372128.00;3/4/11;ASSOC FOR RENEWAL IN EDUCATION;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CAFETERIA, FOOD SERVICE, AND KITCHEN EQUIPMENT RENTAL OR LEASE 25;$729984.60;3/4/11;DC CENTRAL KITCHEN;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$372128.00;3/4/11;UNITED PLANNING ORGANIZATION;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$251818.00;3/4/11;UNIVERSITY OF DISTRICT OF COL;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$186064.00;3/4/11;BRIGHT BEGINNINGS, INC.;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$149186.70;3/4/11;LATINO ECONOMIC DVLPMNT CORP;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$10000.00;3/4/11;LANCE BAILEY & ASSOCIATES INC;SILVER SPRING  ;MD
STATE SUPERINTENDENT OF EDUCATION (OSSE);FINANCIAL SERVICES (NOT OTHERWISE CLASSIFIED) 49;$999891.00;3/4/11;MERIDIAN PUBLIC CHARTER SCHOOL;WASHINGTON  ;DC
OFF PUBLIC ED FACILITIES MODERNIZATION;CONSTRUCTION MANAGEMENT SERVICES 26;$24621.43;3/4/11;SIGNATURE TECHNOLOGY SOLUTIONS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32;$4989.41;3/4/11;DEMCO INC;MADISON  ;WI
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$50000.00;3/4/11;CENTER CITY PCS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$50000.00;3/4/11;CENTER CITY PCS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$50000.00;3/4/11;CENTER CITY PCS;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;COMPUTER SOFTWARE CONSULTING 29;$64915.00;3/4/11;MORPHOTRAK, INC;FEDERAL WAY   ;WA
DEPARTMENT OF PARKS AND RECREATION;MAINTENANCE AND REPAIR, SWIMMING POOL (INCLUDES WATER TREATMENT) 63;$839363.43;3/4/11;STEVEN GOODRICH;WASHINGTON  ;DC
DEPARTMENT OF CORRECTIONS;UNDERGARMENTS AND SLEEPWEAR, FEMALE 86;$7000.00;3/4/11;AMERICAN SUPPLY COMPANY;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$100000.00;3/4/11;BUILDING HOPE-A CHARTER SCHOOL;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$3802.50;3/4/11;CAREER TECHNICAL INSTITUTE INC;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$50000.00;3/4/11;DC PREPARATORY ACADEMY,PCS;WASHINGTON  ;DC
STATE SUPERINTENDENT OF EDUCATION (OSSE);PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$50000.00;3/4/11;DC PREPARATORY ACADEMY,PCS;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;LOAN ADMINISTRATION 60;$78370.00;3/4/11;PEACEOHOLICS, INC;WASHINGTON  ;DC
TAXI CAB COMMISSION;COURIER/DELIVERY SERVICES (INCLUDING AIR COURIER SERVICES) 24;$5500.00;3/4/11;SUPERIOR COURIERS, LLC;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$5613.92;3/4/11;DAVID VOLKERT & ASSOCIATES;ALEXANDRIA  ;VA
DEPARTMENT OF HEALTH;COMPUTERS, PARTS AND SUPPLIES 29;$3301.98;3/5/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$8411.51;3/5/11;FAMILY MEDICAL COUNSELING;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$5728.47;3/5/11;COMMUNITY EDUCATION GROUP;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$12747.90;3/5/11;ANGELS&ASSOCIATESINC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$10161.00;3/5/11;US HELPING US PEOPLE INTO LIVI;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;INVENTORY MANAGEMENT 55;$8998.91;3/5/11;VOXIVA INC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$144971.00;3/5/11;WASHINGTON HOSPITAL CENTER;ARLINGTON  ;VA
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$7897.37;3/5/11;THE WOMEN'S COLLECTIVE;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$2814.69;3/5/11;DEAF REACH;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;ENVIRONMENTAL CONSULTING 43;$3000.00;3/5/11;ATRIUM ENVIROMENTAL HEALTH AND;RESTON  ;VA
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$9605.00;3/5/11;LA CLINICA DEL PUEBLO, INC.;WASHINGTON  ;DC
DC PUBLIC LIBRARY;LIBRARY INFORMATION MANAGEMENT SOFTWARE 59;$2995.00;3/7/11;READSPEAKER LLC;MCLEAN  ;VA
CHILD AND FAMILY SERVICES;COPY MACHINES 32;$4761.07;3/7/11;SHARP ELECTRONICS CORPORATION;MAHWAH  ;NJ
DEPARTMENT OF TRANSPORTATION;TRAFFIC AND TRANSPORTATION ENGINEERING 93;$472947.20;3/7/11;KLS ENGINEERING LLC;ASHBURN  ;VA
DEPARTMENT OF PARKS AND RECREATION;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$50000.00;3/7/11;SWANN CONSTRUCTION INC.;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;YOUTH CARE SERVICES 95;$154544.00;3/7/11;ERKY FOUNDATION;TEMPLE HILLS  ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TRANSLATION SERVICES 75;$4800.00;3/7/11;DT TRANSLATION, INC;SILVER SPRING  ;MD
DC PUBLIC LIBRARY;LIBRARY SERVICES (NOT OTHERWISE CLASSIFIED) 38;$174300.00;3/7/11;CRICKET COMMUNICATIONS, INC;SAN DIEGO  ;CA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ADMINISTRATION OF CONTRACTS: SUMMARY OF WORK, QUALITY CONTROL, PROJECT CLOSEOUT, ETC. 03;$568626.34;3/7/11;FRIENDSHIP PCS;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TRANSLATION SERVICES 75;$15000.00;3/7/11;CONTEXT GLOBAL INCORPORATED;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$22335.00;3/7/11;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$22195.00;3/7/11;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$18485.00;3/7/11;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$3475.00;3/7/11;HEAVY EQUIPMENT TRNG ACADEMY;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;VOCATIONAL TRAINING, ALL TYPES  (INCLUDING VOCATIONAL REHABILITATION AND TECHNICAL EDUCATION) 86;$25000.00;3/7/11;SCHOOLTALK INC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH CARE FINANCE;CONSULTING SERVICES (NOT OTHERWISE CLASSIFIED) 32;$1480923.00;3/7/11;XEROX STATE HEALTHCARE, LLC;DALLAS  ;TX
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$3200.00;3/7/11;INFORMATICA CORPORATION;REDWOOD CITY  ;CA
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$18875.00;3/7/11;NATIONAL HOUSING CORPORATION;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$14095.00;3/7/11;GEORGE MASON UNIVERSITY;FAIRFAX  ;VA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TRANSLATION SERVICES 75;$12000.00;3/7/11;GOLDEN LAND INC;ANNANDALE  ;VA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BELTS AND SUSPENDERS 25;$3366.00;3/7/11;DIXIE SPORTING GOODS CO., INC.;RICHMOND  ;VA
CHILD AND FAMILY SERVICES;YOUTH CARE SERVICES 95;$154544.00;3/7/11;BEST KIDS, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TRANSPORTATION OF GOODS AND OTHER FREIGHT SERVICES 86;$4380.00;3/7/11;MARLOW SPORTS, INC.;FORESTVILLE  ;MD
DEPARTMENT OF HEALTH;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$210000.00;3/7/11;NATIONAL CAPITAL POISON CENTER;WASHINGTON  ;DC
OFFICE OF LATINO AFFAIRS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$30000.00;3/7/11;MOSAICA;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;MAINTENANCE AND REPAIR, SWIMMING POOL (INCLUDES WATER TREATMENT) 63;$277016.00;3/7/11;C&E SERVICES, INC. OF WASHINGTON;WASHINGTON  ;DC
DEPARTMENT OF PARKS AND RECREATION;MAINTENANCE AND REPAIR, SWIMMING POOL (INCLUDES WATER TREATMENT) 63;$286284.00;3/7/11;C&E SERVICES, INC. OF WASHINGTON;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;EMPLOYMENT GENERATING ACTIVITIES 39;$27998.75;3/7/11;COMMUNITY CONNECTIONS;WASHINGTON  ;DC
OFFICE OF LATINO AFFAIRS;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$55000.00;3/7/11;GREATER WASHINGTON HISPANIC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$7380.00;3/7/11;CENTER FOR APPLIED LINGUISTICS;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;YOUTH CARE SERVICES 95;$212498.00;3/7/11;COMMUNITY FAMILY LIFE SERVICE,;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$4970.00;3/7/11;ENTERPRISE MEDICAL MGMT SYSTEM;LARGO  ;MD
DEPARTMENT OF GENERAL SERVICES;DEMOLITION SERVICES 40;$429589.87;3/7/11;RODGERS BROTHERS CUSTODIAL SER;WASHINGTON  ;DC
OFFICE OF THE ATTORNEY GENERAL;LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50;$4000.00;3/7/11;NATIONAL REHABILITATION HOSP;WASHINGTON  ;DC
OFFICE OF THE CHIEF MEDICAL EXAMINER;X-RAY EQUIPMENT MAINTENANCE AND REPAIR 95;$10600.00;3/7/11;CHESAPEAKE MEDICAL SYSTEMS INC;CAMBRIDGE  ;MD
DEPARTMENT OF EMPLOYMENT SERVICES;TRANSIT MANAGEMENT SERVICES 91;$6700.00;3/7/11;WASH METRO AREA TRANSIT AUTH;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$4000.00;3/7/11;TECHNICAL LEARNING CENTER;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;HEATING, VENTILATING AND AIR CONDITIONING (HVAC) 50;$5000.00;3/7/11;POTOMAC CREEK ASSOC LP;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$103876.30;3/7/11;LATINO ECONOMIC DVLPMNT CORP;WASHINGTON  ;DC
DC PUBLIC LIBRARY;PROJECT MANAGEMENT SERVICES 77;$20000.00;3/7/11;LYNCH DEVELOPMENT PARTNERS LLC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BUS AND TAXI SERVICES, LIMOUSINES AND VANS (INCLUDING OPERATIONS, MANAGEMENT, AND TERMINAL SERVICES) 17;$3370.00;3/7/11;MAINOR'S BUS SERVICE;WASHINGTON  ;DC
DC PUBLIC LIBRARY;BUILDING CLEANING, EXTERIOR 03;$2750.00;3/7/11;ROJANI FAC MANAGEMENT, LLC;HYATTSVILLE  ;MD
OFFICE OF CHIEF FINANCIAL OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$90000.00;3/7/11;DATA COMPRESSION TECHNOLOGY;MINNEAPOLIS  ;MN
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$9109.00;3/7/11;SCHOLASTIC, INC.;NEW YORK  ;NY
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$13356.58;3/7/11;GREEN DOOR ADVISORS, LLC;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;COPY MACHINES 32;$60017.30;3/7/11;RICOH CORP/RICOH BUSINESS SYSTEM;WEST CALDWELL  ;NJ
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TRANSLATION SERVICES 75;$8000.00;3/7/11;LIU FU;GREENBELT  ;MD
DEPARTMENT OF TRANSPORTATION;ENGINEERING CONSULTING 42;$82250.53;3/7/11;XEROX STATE & LOCAL SOLUTIONS, INC.;NORWALK  ;CT
DEPART OF YOUTH REHABILITATION SERVICES;HUMAN SERVICES CONSULTING (TO INCLUDE MENTAL HEALTH CONSULTING SERVICES) 67;$10000.00;3/7/11;MDJ AND ASSOCIATES, PLLC;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$29700.00;3/7/11;4645 NANNIE HELEN BURROUGHS AV;WASHINGTON   ;DC
CHILD AND FAMILY SERVICES;HEATING, VENTILATING AND AIR CONDITIONING (HVAC) 50;$187000.00;3/7/11;TISHMAN SPEYER PROPERTIES, LP;WASHINGTON  ;DC
DEPARTMENT OF TRANSPORTATION;TRAFFIC AND TRANSPORTATION ENGINEERING 93;$528871.93;3/7/11;TOOLE DESIGN GROUP LLC;SILVER SPRING   ;MD
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;COPYING SERVICES (REPRODUCTION) 18;$9083.47;3/7/11;BRENTWORKS, INC.;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;TEXTBOOKS: 9TH THRU 12TH GRADE (INCLUDES STUDENT AND TEACHER EDITIONS) 87;$4090.80;3/7/11;HOUGHTON MIFFLIN CO INC;BOSTON  ;MA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07;$6000.00;3/7/11;IMPACT APPLICATIONS, INC;PITTSBURGH  ;PA
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;BAGS AND LINERS, PLASTIC: GARBAGE CAN LINERS, JANITOR CART LINERS, LINEN HAMPER LINERS, LITTER BAGS, POLYETHYLENE BAGS, ETC. 24;$32000.00;3/8/11;AMERICAN EXPRESS COMPANY;WESTON  ;FL
DEPARTMENT OF HEALTH;;$4350.00;3/8/11;ACOUSTICAL INTERIORS, INC;CHARLOTTE  ;NC
OFFICE OF CHIEF TECHNOLOGY OFFICER;NETWORK COMPONENTS: ADAPTER CARDS, BRIDGES, CONNECTORS, EXPANSION MODULES/PORTS, FIREWALL DEVICES, HUBS, LINE DRIVERS, MSAUS, ROUTERS, TRANSCEIVERS, ETC. 64;$7275.72;3/8/11;OLDCASTLE PRECAST, INC.;AUBURN  ;WA
DEPARTMENT OF TRANSPORTATION;CONSTRUCTION, HIGHWAY AND ROAD 27;$613240.00;3/8/11;KLS ENGINEERING LLC;ASHBURN  ;VA
OFFICE OF CHIEF TECHNOLOGY OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$6372.50;3/8/11;IT PROFESSIONAL SOLUTIONS INC;HEATHROW   ;FL
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$20000.00;3/8/11;INDEPENDENT HOLDING CORP;WASHINGTON  ;DC
OFFICE OF PEOPLE'S COUNSEL;LEGAL SERVICES, ATTORNEYS 49;$15000.00;3/8/11;LEADING ENERGY SOLUTIONS, INC.;COCONUT GROVE   ;FL
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ORGANIZATIONAL DEVELOPMENT CONSULTING 83;$64000.00;3/8/11;RICHARD R. BARONE JR.;MIAMI BEACH  ;FL
DEPART OF YOUTH REHABILITATION SERVICES;BALLASTS, ALL KINDS 06;$12000.00;3/8/11;MAURICE ELECTRICAL SUPPLY;WASHINGTON  ;DC
DEPARTMENT OF MOTOR VEHICLES;SOFTWARE MAINTENANCE/SUPPORT 45;$6793.50;3/8/11;TELECHECK SERVICES INC;HOUSTON  ;TX
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;MICROCOMPUTERS, DESKTOP OR TOWERBASED 53;$9223.99;3/8/11;DELL COMPUTER CORP.;ROUND ROCK  ;TX
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$12450.00;3/8/11;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;EDUCATION AND TRAINING CONSULTING 38;$78750.00;3/8/11;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$22000.00;3/8/11;SARA MACK;SILVER SPRING  ;MD
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50;$17000.00;3/8/11;ORRICK HERRINGTON SUTCLIFFE LP;NEW YORK  ;NY
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$11325.00;3/8/11;NATIONAL HOUSING CORPORATION;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;ADVERTISING/PUBLIC RELATIONS 03;$4250.00;3/8/11;SMARTBRIEF;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$74740.00;3/8/11;EAST RIVER FAMILY STREGTHENING;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$3722.50;3/8/11;PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY;WASHINGTON  ;DC
CHILD AND FAMILY SERVICES;SUPPORT SERVICES 85;$1130516.68;3/8/11;COLUMBIA HEIGHTS SHAW COLLABRATIVE;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER NETWORK CONSULTING 30;$17000.00;3/8/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF TECHNOLOGY OFFICER;COMPUTER NETWORK CONSULTING 30;$23483.38;3/8/11;OST, INC.;WASHINGTON  ;DC
OFFICE OF UNIFIED COMMUNICATIONS;COMPUTER SOFTWARE CONSULTING 29;$55768.00;3/8/11;OST, INC.;WASHINGTON  ;DC
HOMELAND SECURITY/EMERGENCY MANAGEMENT;ATTACHE CASES 15;$4122.00;3/8/11;DISTRICT OFFICE AND COMPUTER;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;PARKING SERVICES: OPERATION, ADMISSION, SUPERVISION 59;$7000.00;3/8/11;FEDERAL PARKING INC;GARRETT PARK  ;MD
METROPOLITAN POLICE DEPARTMENT;FORENSIC SERVICES 40;$15920.00;3/8/11;THE BODE TECHNOLOGY GROUP, INC.;LORTON  ;VA
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$169015.00;3/8/11;BARNEY NEIGHBORHOOD HOUSE;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$246000.00;3/8/11;FAMILY & CHILD SRVCS OF DC INC;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$130175.00;3/8/11;FAMILY & CHILD SRVCS OF DC INC;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;RESEARCH SERVICES (OTHER THAN BUSINESS) 70;$4800.00;3/8/11;MIDTOWN PERSONNEL INC;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$167400.00;3/8/11;BARRACKS ROW MAINSTREET;WASHINGTON  ;DC
METROPOLITAN POLICE DEPARTMENT;DATA PROCESSING FURNITURE, METAL AND PLASTIC (FOR STORAGE CABINETS SEE ITEM 87) 17;$16400.00;3/8/11;STAR OFFICE PRODUCTS, INC;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$174711.00;3/8/11;FIRST BAPTIST CHURCH, SW, INC;WASHINGTON  ;DC
DEPARTMENT OF MENTAL HEALTH;RECYCLED COMPUTER ACCESSORIES AND SUPPLIES 79;$3000.00;3/8/11;FRANK PARSON PAPER COMPANY;HANOVER  ;MD
DEPARTMENT OF CORRECTIONS;ARCHIVAL STORAGE MATERIALS (ACID FREE): DOCUMENT CASES, ENVELOPES, FILE FOLDERS, ETC. 05;$27730.00;3/8/11;MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$43750.00;3/8/11;D.C. JEWISH COMMUNITY CENTER;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;INFORMATION HIGHWAY ELECTRONIC SERVICES (INTERNET, WORLD WIDE WEB, ETC.) 51;$36758.22;3/8/11;ALLIED TELECOM GROUP,LLC;WASHINGTON  ;DC
DISTRICT OF COLUMBIA PUBLIC SCHOOLS;INFORMATION HIGHWAY ELECTRONIC SERVICES (INTERNET, WORLD WIDE WEB, ETC.) 51;$110274.66;3/8/11;ALLIED TELECOM GROUP,LLC;WASHINGTON  ;DC
DEPARTMENT OF HEALTH;HEALTH CARE SERVICES (NOT OTHERWISE CLASSIFIED) 48;$12764.38;3/8/11;WHITMAN WALKER CLINIC, INC.;WASHINGTON  ;DC
DEPARTMENT OF EMPLOYMENT SERVICES;HUMAN SERVICES (NOT OTHERWISE CLASSIFIED) 59;$4000.00;3/8/11;SANZ SCHOOL INC;WASHINGTON  ;DC
OFFICE ON AGING;ELDERLY ASSISTANCE SERVICES 40;$113021.00;3/8/11;ZION BAPTIST CHURCH;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;LEGAL SERVICES, ATTORNEYS 49;$74999.99;3/8/11;PATTON BOGGS LLP;WASHINGTON  ;DC
DEPARTMENT ON DISABILITY SERVICES;ADMINISTRATIVE CONSULTING 06;$97000.00;3/8/11;RJH AIR CONDITIONING;BELTSVILLE  ;MD
DEPARTMENT OF TRANSPORTATION;"HIGHWAYS; STREETS; AIRPORT PAY-PARKING LOTS - ARCHITECTURAL 46";$104451.76;3/8/11;THE LOW IMPACT DEV.CT.,INC.;BELTSVILLE  ;MD
DEPARTMENT OF HUMAN SERVICES;FORMS PRINTING (NOT CONTINUOUS) 36;$30528.10;3/8/11;SENODA, INC.;WASHINGTON  ;DC
OFFICE OF CHIEF FINANCIAL OFFICER;SOFTWARE MAINTENANCE/SUPPORT 45;$54796.33;3/8/11;MVS, INC.;WASHINGTON  ;DC
DEPT. OF HOUSING AND COMM. DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$170161.00;3/8/11;LATINO ECONOMIC DVLPMNT CORP;WASHINGTON  ;DC
DEPART OF YOUTH REHABILITATION SERVICES;YOUTH CARE SERVICES 95;$382391.29;3/8/11;PROGRESSIVE LIFE CENTER, INC.;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58;$27464.00;3/8/11;BOLAN SMART ASSOCIATES, INC.;WASHINGTON  ;DC
DEPUTY MAYOR FOR ECONOMIC DEVELOPMENT;NEGOTIATION SERVICES 58;$16402.50;3/8/11;JONES LANG LASALLE;WASHINGTON  ;DC
